MLS#,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP ,BEDS,BATHS,SQUARE FEET,LOT SIZE,Age,DAYS ON MARKET,HOA/MONTH,LATITUDE,LONGITUDE,PRICE
3531334,Single Family Residential,33 HOLLY Dr,Millburn Twp.,NJ,07078-1356,5,4.5,5100,27442,,1,,40.7526521,-74.3184668,1585000
3531234,Single Family Residential,11 WORDSWORTH Rd,Millburn Twp.,NJ,07078-2926,6,4,3500,15681,67,1,,40.7398952,-74.3441988,1285000
3531083,Single Family Residential,150 HARTSHORN Dr,Millburn Twp.,NJ,07078-1613,7,8.5,10791,64033,61,2,,40.7424345,-74.3226602,3888000
3531035,Single Family Residential,95 FAIRFIELD Dr,Millburn Twp.,NJ,07078-1718,5,3.5,3513,20908,68,3,,40.7488734,-74.3078108,1488000
3530999,Single Family Residential,63 CRESCENT Pl,Millburn Twp.,NJ,07078-3423,5,4.5,4509,23086,129,3,,40.7256237,-74.3218353,1988000
3530920,Single Family Residential,30 ADDISON Dr,Millburn Twp.,NJ,07078-1808,7,6.5,8400,24393,1,4,,40.7328282,-74.3460547,2950000
3530904,Single Family Residential,18 TENNYSON Dr,Millburn Twp.,NJ,07078-1002,5,3.5,,22215,63,4,,40.7349174,-74.3498351,1295000
3530851,Single Family Residential,1 BIRCHWOOD Dr,Millburn Twp.,NJ,07078-3311,4,2.5,2320,11761,58,4,,40.7214294,-74.3289388,895000
1905047,Single Family Residential,4 Hardwell Rd,Millburn,NJ,7078,5,5.5,,61877,,5,,40.7367565,-74.3095983,2395000
3530582,Single Family Residential,23 SLAYTON Dr,Millburn Twp.,NJ,07078-1534,4,2.5,,20908,63,5,,40.7389255,-74.339433,1195000
3530571,Single Family Residential,8 OAKDALE Ave,Millburn Twp.,NJ,07041-1904,3,2.5,,3920,89,5,,40.7237252,-74.2877921,690000
3530454,Single Family Residential,100 OLD HOLLOW Rd,Millburn Twp.,NJ,07078-2145,3,3.5,,17424,71,5,,40.741247,-74.3127149,1185000
3530390,Single Family Residential,134 GLEN Ave,Millburn Twp.,NJ,07041-1722,4,2,,10454,67,6,,40.7251327,-74.2996523,475000
3530363,Single Family Residential,8 ROSEDALE Ave,Millburn Twp.,NJ,07041-1916,5,3,,4356,92,6,,40.7246822,-74.2864055,739000
3530353,Single Family Residential,76 FAR BROOK Dr,Millburn Twp.,NJ,7078,6,5.5,,23522,1,6,,40.746014,-74.322917,2775000
3530352,Single Family Residential,19 SHERWOOD Rd,Millburn Twp.,NJ,07078-2038,6,6.5,7200,19166,1,6,,40.7299063,-74.3171835,2850000
3530346,Single Family Residential,29 GREAT HILLS Ter,Millburn Twp.,NJ,07078-1339,4,3.5,,13939,82,6,,40.751011,-74.315969,959000
3530343,Single Family Residential,91 OAKVIEW Ter,Millburn Twp.,NJ,07078-2466,5,4.5,,6969,84,6,,40.72327,-74.3266015,1199000
3530232,Single Family Residential,30 KILMER Dr,Millburn Twp.,NJ,07078-3103,4,3.5,,9583,72,6,,40.753744,-74.3103317,1249000
3530207,Single Family Residential,76 CHESTNUT St,Millburn Twp.,NJ,07041-2123,4,3,2700,4791,99,6,,40.7256148,-74.2961688,875000
3530099,Single Family Residential,20 FALMOUTH St,Millburn Twp.,NJ,07078-1904,4,3.5,,14374,,6,,40.7330224,-74.3390893,1448000
1904723,Single Family Residential,11 Quaker Rd,Millburn,NJ,7078,4,5,,20051,,7,,40.7324199,-74.3375313,1625000
1904722,Single Family Residential,17 Oak Hill Rd,Millburn,NJ,7078,5,2.5,,6599,,7,,40.7230629,-74.3270598,1100000
3530036,Single Family Residential,474 WHITE OAK RIDGE Rd,Millburn Twp.,NJ,07078-1270,4,2.5,,20037,54,7,,40.7507824,-74.3254558,949000
3529977,Single Family Residential,22 BURNSIDE Dr,Millburn Twp.,NJ,07078-2105,4,3,2701,17859,80,7,,40.7331797,-74.3108358,1235000
3529954,Single Family Residential,11 WYNDHAM Rd,Millburn Twp.,NJ,07078-2806,4,3,,12196,89,7,,40.7268704,-74.3235768,1199000
3529953,Single Family Residential,43 HARAN Cir,Millburn Twp.,NJ,07041-1403,4,3,,6969,65,7,,40.7178381,-74.296673,850000
3529921,Single Family Residential,22 TROY Dr,Millburn Twp.,NJ,07078-1334,6,6.5,,40075,64,7,,40.7512088,-74.3171148,2088000
1904619,Single Family Residential,137 Silver Spring Rd,Millburn,NJ,7078,6,6.5,,11500,,7,,40.7524448,-74.3093233,1925000
1904533,Single Family Residential,100 Stewart Rd,Millburn,NJ,7078,7,7.5,,39400,,8,,40.7372936,-74.3286409,3175000
3529668,Single Family Residential,401 LONG HILL Dr,Millburn Twp.,NJ,07078-1205,6,3.5,,20908,41,8,,40.747116,-74.3302219,1450000
3529628,Single Family Residential,7 SARATOGA Way,Millburn Twp.,NJ,07078-1290,7,6.5,7455,21344,2,8,,40.7435405,-74.3272889,2899000
3529499,Single Family Residential,41 WEST Rd,Millburn Twp.,NJ,07078-2251,6,4,,37026,83,8,,40.7258655,-74.3421138,1348000
3529493,Single Family Residential,56 GREAT OAK Dr,Millburn Twp.,NJ,07078-3425,3,1.5,,14810,77,8,,40.7248176,-74.3177679,800000
3529336,Single Family Residential,366 OLD SHORT HILLS Rd,Millburn Twp.,NJ,07078-1712,3,1.5,,20908,69,10,,40.7477081,-74.3116608,600000
3529298,Single Family Residential,67 MONTVIEW Ave,Millburn Twp.,NJ,07078-2065,0,,,30927,,10,,40.729513,-74.3228435,1428000
3529171,Single Family Residential,17 Farbrook Dr,Millburn Twp.,NJ,7078,5,7,7600,37461,11,11,,40.7490057,-74.319475,2995000
3529162,Single Family Residential,175 HARTSHORN Dr,Millburn Twp.,NJ,07078-1614,6,6.5,7144,29185,11,11,,40.7410927,-74.3238518,2649000
3529036,Single Family Residential,54 Baltusrol Way,Millburn Twp.,NJ,07078-2453,4,3,,10454,91,11,,40.7216158,-74.3222019,1195000
3528906,Single Family Residential,9 SUNSET Dr,Millburn Twp.,NJ,07041-1902,4,2,,9147,70,12,,40.7247276,-74.2906226,545000
3528759,Single Family Residential,58 SOUTHERN SLOPE Dr,Millburn Twp.,NJ,07041-1534,3,2.5,,5662,,12,,40.719645,-74.3029983,798000
3528739,Single Family Residential,15 MARION Ave,Millburn Twp.,NJ,07078-2119,5,3.5,4656,20473,134,13,,40.7289087,-74.3109733,1779000
3528683,Single Family Residential,22 KEATS Rd,Millburn Twp.,NJ,07078-2914,4,3.5,,14374,66,13,,40.7394412,-74.3441301,1195000
3528663,Single Family Residential,19 GREENWOOD Dr,Millburn Twp.,NJ,07041-1433,4,3.5,,6098,84,13,,40.7183339,-74.2969022,989000
3528489,Single Family Residential,41 SPENSER Dr,Millburn Twp.,NJ,7078,8,7.5,,19166,0,14,,40.7383932,-74.3447945,2350000
1903709,Single Family Residential,26 Woodland Rd,Millburn,NJ,7078,5,2.5,,7296,,14,,40.7211532,-74.3249975,1150000
3528182,Single Family Residential,44 MOHAWK Rd,Millburn Twp.,NJ,07078-3002,8,7.5,8833,27442,7,15,,40.7443965,-74.3231623,2990000
3528189,Single Family Residential,193 PARSONAGE HILL Rd,Millburn Twp.,NJ,07078-1523,4,3.5,,20473,61,15,,40.7423914,-74.3287554,950000
3528011,Single Family Residential,33 HOBART AVENE,Millburn Twp.,NJ,07078-2026,5,3.5,,25264,87,16,,40.7281178,-74.3139066,1798000
1903261,Single Family Residential,36 Stewart Rd,Millburn,NJ,7078,7,8,,76666,,18,,40.7338025,-74.3285492,4995000
3527581,Single Family Residential,13 TIOGA Pass,Millburn Twp.,NJ,07078-1267,5,5.5,,27007,53,19,,40.745125,-74.3256171,2095000
3527443,Single Family Residential,36 FOREST Dr N,Millburn Twp.,NJ,07078-2831,7,5.5,,34412,139,19,,40.7290216,-74.3273806,2195000
3527304,Single Family Residential,25 GREENWOOD Dr,Millburn Twp.,NJ,07041-1433,5,3.5,,6098,84,20,,40.7182944,-74.2974522,995000
3527263,Single Family Residential,20 HEMLOCK Rd,Millburn Twp.,NJ,07078-2204,4,4.5,3603,33541,94,20,,40.7296228,-74.3397996,1548000
3527186,Single Family Residential,83 Whitney Rd,Millburn Twp.,NJ,07078-3421,4,2.5,2263,7840,86,20,,40.7261261,-74.314594,1150000
3527130,Single Family Residential,9 W BEECHCROFT Rd,Millburn Twp.,NJ,07078-1637,6,6.5,5400,29185,83,20,,40.7441401,-74.3157398,1700000
3527084,Townhouse,14 MEEKER Pl,Millburn Twp.,NJ,07041-1108,5,4.5,,6534,1,20,,40.7185663,-74.30859,899000
3527026,Single Family Residential,12 SHIRLAWN Dr,Millburn Twp.,NJ,07078-1616,6,7.5,,28314,12,21,,40.7408374,-74.3225686,2625000
3527009,Single Family Residential,10 JOANNA Way,Millburn Twp.,NJ,07078-3240,5,6.5,6000,23958,86,21,,40.7368256,-74.3220644,2769000
3526993,Single Family Residential,444 OLD SHORT HILLS Rd,Millburn Twp.,NJ,07078-1723,7,7.5,7600,43560,51,21,,40.752,-74.3076504,1385000
3526859,Single Family Residential,17 GREAT OAK Dr,Millburn Twp.,NJ,07078-3426,4,3,,19602,72,21,,40.7260523,-74.3162898,1425000
3526713,Single Family Residential,46 GREENWOOD Dr,Millburn Twp.,NJ,07041-1448,3,3,,17424,84,22,,40.7176669,-74.2990565,875000
1902630,Single Family Residential,38 Richard Dr,Millburn,NJ,7078,4,3.5,,,,22,,40.7559686,-74.3202312,1198000
3526553,Single Family Residential,60 Pine Ter E,Millburn Twp.,NJ,07078-2555,3,1.5,,7840,65,23,,40.7243785,-74.3192688,679000
3526248,Single Family Residential,1 LENAPE Rd,Millburn Twp.,NJ,07078-1212,5,6,6959,23958,39,25,,40.7453903,-74.3318488,1748000
3526207,Single Family Residential,85 STEWART Rd,Millburn Twp.,NJ,07078-1923,7,5,,100187,132,25,,40.7366365,-74.3304511,7950000
3525973,Single Family Residential,22 DAMEO Pl,Millburn Twp.,NJ,07078-3317,3,2,,6969,62,26,,40.7186855,-74.3250433,768000
3525887,Single Family Residential,79 TROY Dr,Millburn Twp.,NJ,07078-1365,5,3.5,,20037,53,27,,40.75415,-74.3140899,1699000
3525729,Single Family Residential,17 CRESCENT Pl,Millburn Twp.,NJ,07078-3410,5,3.5,,19602,77,27,,40.7262074,-74.3178251,1799000
3525312,Single Family Residential,848 RIDGEWOOD Rd,Millburn Twp.,NJ,07041-1443,3,2.5,,7405,84,29,,40.7187391,-74.2973147,685000
3525175,Single Family Residential,85 Locust Ave,Millburn Twp.,NJ,07041-1523,3,2.5,,5662,91,29,,40.719615,-74.2964553,599000
3524852,Single Family Residential,94 HIGHLAND Ave,Millburn Twp.,NJ,07078-2845,4,3.5,,42253,77,32,,40.7318022,-74.325135,1629000
3524793,Single Family Residential,2 DEERFIELD Rd,Millburn Twp.,NJ,07078-1404,5,5,,12196,69,32,,40.7548894,-74.3066192,1329000
3524670,Townhouse,29 WILLOW St,Millburn Twp.,NJ,07041-1112,4,4,,7405,1,32,,40.7181333,-74.3093692,950000
3524281,Single Family Residential,470 OLD SHORT HILLS Rd,Millburn Twp.,NJ,07078-1724,5,5,,52707,59,34,,40.7535312,-74.3063462,1695000
3524259,Single Family Residential,37 HILLSIDE Ave,Millburn Twp.,NJ,07078-2024,6,4.5,,38332,65,34,,40.7294746,-74.3153273,1799000
3524236,Single Family Residential,39 HEMLOCK Rd,Millburn Twp.,NJ,07078-2205,5,3.5,,17859,114,34,,40.7300003,-74.3411286,1275000
3524181,Single Family Residential,27 BARNSDALE Rd,Millburn Twp.,NJ,07078-2018,5,5.5,,15681,92,34,,40.7321871,-74.3169085,1650000
3523764,Single Family Residential,18 S BEECHCROFT Rd,Millburn Twp.,NJ,07078-1650,4,3.5,,15681,52,36,,40.7434473,-74.3140899,1475000
3523600,Single Family Residential,118 HOBART Ave,Millburn Twp.,NJ,07078-2001,3,2,,12196,70,36,,40.7272501,-74.3201854,849000
1900445,Single Family Residential,77 Old Hollow Rd,Millburn,NJ,7078,5,6.5,,22651,,40,,40.7396046,-74.3107671,1895000
1900267,Single Family Residential,18 Timber Acres Rd,Millburn,NJ,7078,5,5.5,,28998,,40,,40.7343878,-74.3535467,1288000
3522794,Single Family Residential,58 MAPLE St,Millburn Twp.,NJ,07041-2017,5,4.5,3960,10018,0,41,,40.730533,-74.2895683,1575000
1900118,Single Family Residential,375 White Oak Ridge Rd,Millburn,NJ,7078,6,5.5,,,,41,,40.7474138,-74.3329257,2290000
3522531,Single Family Residential,37 BYRON Rd,Millburn Twp.,NJ,07078-1809,7,5.5,,15681,1,41,,40.7338171,-74.3476127,2595000
3520967,Single Family Residential,10 ELSWAY Rd,Millburn Twp.,NJ,07078-1617,5,3.5,5428,22215,68,57,,40.7394251,-74.323531,1918000
3519975,Single Family Residential,11 Washington Ave,Millburn Twp.,NJ,07078-2074,6,6,5943,40946,80,64,,40.7328777,-74.3142274,2595000
3518976,Single Family Residential,15 THE Cres,Millburn Twp.,NJ,7078,5,3.5,,17424,35,70,,40.7267119,-74.3221561,1455000
3517948,Single Family Residential,62 COLONIAL Way,Millburn Twp.,NJ,07078-1813,4,3.5,,17424,83,75,,40.7311634,-74.3489644,975000
3517772,Single Family Residential,3 OAKDALE Ave,Millburn Twp.,NJ,07041-1912,3,1.5,,4791,99,76,,40.7238256,-74.2874024,559000
1848301,Single Family Residential,258 Long Hill Dr,Millburn,NJ,7078,7,6.5,,20299,,77,,40.7394449,-74.3373251,3600000
3517106,Single Family Residential,240 WHITE OAK RIDGE Rd,Millburn Twp.,NJ,07078-1156,4,2,,14810,67,81,,40.7402882,-74.3408994,799000
3516778,Townhouse,24 Mechanic St,Millburn Twp.,NJ,07041-1106,5,4.5,,16117,1,84,,40.715897,-74.30969,999000
3516212,Single Family Residential,244 GLEN Ave,Millburn Twp.,NJ,07041-1620,4,3,,19166,88,88,,40.7284269,-74.3082004,749887
3515498,Single Family Residential,218 PARSONAGE HILL Rd,Millburn Twp.,NJ,07078-1541,4,3.5,,32234,44,91,,40.7426124,-74.3311843,1150000
3515048,Single Family Residential,344 OLD SHORT HILLS Rd,Millburn Twp.,NJ,07078-1710,3,3,2003,16988,70,94,,40.7465476,-74.3124858,899000
3514895,Single Family Residential,111 FARLEY Rd,Millburn Twp.,NJ,07078-2136,7,5.5,,42688,17,95,,40.7378861,-74.3139753,2975000
3513148,Single Family Residential,346 LONG HILL Dr,Millburn Twp.,NJ,07078-1533,4,3,,21344,52,103,,40.7429,-74.3324216,1250000
3512770,Single Family Residential,17 CLIVE HILLS Rd,Millburn Twp.,NJ,07078-1314,5,4,5379,20908,53,104,,40.7567234,-74.3231643,1688000
3512031,Single Family Residential,16 BEECHCROFT Rd,Millburn Twp.,NJ,07078-1627,7,6.5,9048,25700,1,108,,40.7457326,-74.3146857,2999000
1843328,Single Family Residential,181 White Oak Ridge Rd,Millburn,NJ,7078,4,2,,19580,,118,,40.7369971,-74.3439239,850000
3509705,Single Family Residential,73 KNOLLWOOD Rd,Millburn Twp.,NJ,07078-2836,5,4,3662,10890,131,118,,40.7305809,-74.3271973,1788000
3509576,Single Family Residential,296 HARTSHORN Dr,Millburn Twp.,NJ,07078-1915,5,6.5,10469,58370,14,118,,40.7378101,-74.3334712,3499000
3508995,Single Family Residential,45 JOANNA Way,Millburn Twp.,NJ,07078-3206,6,5,5049,23522,68,120,,40.7384345,-74.324608,1995000
3508456,Single Family Residential,10 BRANTWOOD Ter,Millburn Twp.,NJ,07078-1814,4,4,,46173,71,124,,40.7306086,-74.3430074,1249000
3507458,Single Family Residential,63 Addison Dr,Millburn Twp.,NJ,07078-1807,7,6.5,7848,23522,12,127,,40.7335184,-74.3488041,2800000
3507028,Single Family Residential,24 OLD SHORT HILLS Rd,Millburn Twp.,NJ,07041-1319,4,2,,9583,90,130,,40.7272417,-74.3101025,699000
1841497,Single Family Residential,94 Knollwood Rd,Millburn,NJ,7078,5,5,,44997,,131,,40.7313069,-74.3282513,1799000
3505861,Single Family Residential,149 TENNYSON Dr,Millburn Twp.,NJ,07078-1015,7,6.5,,14810,1,133,,40.7388821,-74.3483229,2695000
3505243,Single Family Residential,59 PINE St,Millburn Twp.,NJ,07041-2007,4,4.5,,10018,96,137,,40.7289524,-74.2912643,629000
3504188,Single Family Residential,2 E BEECHCROFT Rd,Millburn Twp.,NJ,07078-1636,5,5,5493,43560,74,141,,40.745544,-74.3136712,2195000
3503390,Single Family Residential,70 SLOPE Dr,Millburn Twp.,NJ,07078-1952,5,4,,23958,58,145,,40.7332292,-74.3337506,1250000
3503107,Single Family Residential,46 GREAT HILLS Ter,Millburn Twp.,NJ,07078-1303,7,7.5,7987,30927,16,146,,40.7517135,-74.3145428,3750000
3501979,Single Family Residential,18 EXETER Rd,Millburn Twp.,NJ,07078-1427,5,3.5,,12196,66,151,,40.7571929,-74.3076275,1100000
3501666,Single Family Residential,2 OAKLAWN Rd,Millburn Twp.,NJ,07078-1608,6,5.5,,31798,90,152,,40.7367428,-74.3196584,1375000
3499489,Single Family Residential,48 WOODCREST Ave,Millburn Twp.,NJ,07078-2124,4,3.5,4762,25700,99,160,,40.7337323,-74.3096671,1849000
3499422,Single Family Residential,71 TAYLOR Rd N,Millburn Twp.,NJ,07078-2256,6,5.5,6000,44431,111,160,,40.7319457,-74.3311843,1975000
3498836,Single Family Residential,419 LONG HILL Dr,Millburn Twp.,NJ,07078-1205,4,3.5,3450,25264,40,161,,40.747882,-74.3286409,1725000
3497827,Single Family Residential,260 HARTSHORN Dr,Millburn Twp.,NJ,07078-1914,6,7,6658,37026,9,167,,40.7389792,-74.3314593,2185000
3497023,Vacant Land,284 HOBART Ave,Millburn Twp.,NJ,07078-2236,,,,31798,,172,,40.7273727,-74.3346835,799000
3495064,Multi-Family (2-4 Unit),29 MECHANIC St,Millburn Twp.,NJ,07041-1105,4,2,,3484,94,180,,40.7163154,-74.3099192,595000
3489282,Single Family Residential,320 WHITE OAK RIDGE Rd,Millburn Twp.,NJ,07078-1158,6,6.5,7361,33105,1,204,,40.7443416,-74.3364085,2299000
3489056,Condo/Co-op,270 MAIN St,Millburn Twp.,NJ,07041-1125,2,1,,,,205,214,40.7161512,-74.3083333,441000
3486484,Single Family Residential,281 HARTSHORN Dr,Millburn Twp.,NJ,07078-1916,7,7.5,,44866,1,215,,40.7378061,-74.3319175,4790000
1822595,Single Family Residential,50 Falmouth St,Millburn,NJ,7078,6,3.5,,21497,,256,,40.7341562,-74.3407161,1685000
3466541,Single Family Residential,90 Farley Rd,Millburn Twp.,NJ,07078-2108,0,,,55756,,286,,40.738434,-74.3120429,1500000
3466532,Single Family Residential,84 Farley Rd,Millburn Twp.,NJ,07078-2108,0,,,111077,,286,,40.7380971,-74.3110421,2800000
3465987,Single Family Residential,79 Minnisink Rd,Millburn Twp.,NJ,07078-1919,7,8,8000,50093,114,288,,40.7355518,-74.3318259,3750000
3461404,Single Family Residential,3 Cora Way,Millburn Twp.,NJ,07078-1338,6,7,8566,29185,1,304,,40.7267,-74.309797,2848000
3460396,Single Family Residential,176 Hartshorn Dr,Millburn Twp.,NJ,07078-1615,7,7.5,,30056,9,307,,40.7416201,-74.3243101,2790000
3449618,Single Family Residential,126 Highland Ave,Millburn Twp.,NJ,07078-1944,7,7.5,7325,32234,1,350,,40.734138,-74.325817,3495000
